name,group,rule_order,node_count,max_classes,down_cost,up_cost,cost_change_frac,down_classes,up_classes,class_change_frac,down_live,up_live,down_apps,up_apps,down_iters,up_iters,down_unions,up_unions,down_stop,up_stop,down_cap,up_cap,up_enqueues,up_edges,down_ms,up_ms
synth_d11_s3,synthetic,production,835,5000,11719,11438,-0.023978,4664,4613,-0.010935,1217,1204,7807,7856,3,3,3447,3388,ClassCap,ClassCap,true,true,12155,6675,26.919,34.088
synth_d11_s4,synthetic,production,89,5000,1665,1665,0.000000,232,232,0.000000,89,89,2176,2176,9,9,143,143,Quiesced,Quiesced,false,false,199,333,6.053,6.064
synth_d11_s5,synthetic,production,456,5000,6816,6816,0.000000,4588,4581,-0.001526,973,993,11292,11204,5,5,3605,3582,ClassCap,ClassCap,true,true,22744,5763,32.653,49.374
synth_d11_s6,synthetic,production,95,5000,1754,1754,0.000000,133,133,0.000000,75,75,262,262,3,3,58,58,Quiesced,Quiesced,false,false,83,172,1.497,1.462
synth_d11_s7,synthetic,production,454,5000,7254,7243,-0.001516,3298,3763,0.140995,624,648,8025,12322,4,5,2656,3092,ClassCap,ClassCap,true,true,8889,6098,20.378,39.765
synth_d11_s8,synthetic,production,372,5000,4916,4916,0.000000,3983,4093,0.027617,817,841,8809,8734,4,4,3138,3218,ClassCap,ClassCap,true,true,11437,6730,22.450,31.917
synth_d11_s9,synthetic,production,21,2000,372,372,0.000000,27,27,0.000000,18,18,25,25,2,2,9,9,Quiesced,Quiesced,false,false,10,28,0.239,0.221
synth_d11_s10,synthetic,production,22,2000,345,345,0.000000,33,33,0.000000,20,20,50,50,3,3,13,13,Quiesced,Quiesced,false,false,14,37,0.373,0.384
synth_d11_s11,synthetic,production,89,5000,1338,1338,0.000000,159,155,-0.025157,72,71,556,540,4,4,87,82,Quiesced,Quiesced,false,false,121,200,2.186,2.139
synth_d11_s12,synthetic,production,329,5000,5020,4892,-0.025498,2401,2397,-0.001666,483,484,10207,10141,5,5,1918,1906,ClassCap,ClassCap,true,true,9631,2797,20.102,24.978
synth_d11_s13,synthetic,production,25,2000,195,195,0.000000,47,47,0.000000,25,25,87,87,3,3,22,22,Quiesced,Quiesced,false,false,33,51,0.516,0.478
synth_d11_s14,synthetic,production,636,5000,7675,7541,-0.017459,4463,4417,-0.010307,1219,1204,8073,8051,3,3,3239,3188,ClassCap,ClassCap,true,true,11492,6545,24.681,32.392
synth_d11_s15,synthetic,production,181,5000,2975,2975,0.000000,4369,4382,0.002976,749,741,11351,11224,5,5,3609,3639,ClassCap,ClassCap,true,true,11796,7679,29.090,40.506
synth_d11_s16,synthetic,production,135,5000,1729,1729,0.000000,4151,4157,0.001445,743,748,9448,9391,4,4,3402,3399,ClassCap,ClassCap,true,true,14692,6703,22.586,35.281
synth_d11_s17,synthetic,production,142,5000,2177,2177,0.000000,237,237,0.000000,122,122,723,723,4,4,115,115,Quiesced,Quiesced,false,false,165,325,3.254,3.256
synth_d11_s18,synthetic,production,221,5000,2144,2144,0.000000,1951,1931,-0.010251,363,355,8389,8201,5,5,1584,1573,ClassCap,ClassCap,true,true,9400,2228,15.438,20.422
synth_d11_s19,synthetic,production,202,5000,2353,2353,0.000000,585,576,-0.015385,191,191,3661,3564,6,6,394,383,Quiesced,Quiesced,false,false,554,869,10.422,10.465
synth_d11_s20,synthetic,production,252,5000,3283,3283,0.000000,4543,4520,-0.005063,1173,1166,7721,7729,4,4,3360,3343,ClassCap,ClassCap,true,true,22237,7579,22.577,41.267
synth_d11_s21,synthetic,production,80,5000,905,905,0.000000,99,93,-0.060606,52,52,243,234,4,4,47,41,Quiesced,Quiesced,false,false,57,109,1.416,1.328
synth_d11_s22,synthetic,production,366,5000,5564,5564,0.000000,2336,2286,-0.021404,472,471,50981,49486,15,15,1859,1803,Quiesced,Quiesced,false,false,3344,3669,90.653,90.207
synth_d11_s23,synthetic,production,221,5000,2569,2407,-0.063060,4247,4261,0.003296,976,991,10168,10035,5,5,3267,3253,ClassCap,ClassCap,true,true,26725,6350,24.880,39.393
synth_d11_s24,synthetic,production,495,5000,7514,7499,-0.001996,4373,4335,-0.008690,958,939,9363,9315,4,4,3409,3370,ClassCap,ClassCap,true,true,10711,6657,27.955,36.413
synth_d11_s25,synthetic,production,86,5000,1074,1074,0.000000,128,123,-0.039062,64,64,366,338,4,4,64,57,Quiesced,Quiesced,false,false,78,145,1.721,1.638
synth_d11_s26,synthetic,production,285,5000,3607,3607,0.000000,903,893,-0.011074,299,299,6360,6231,7,7,604,591,Quiesced,Quiesced,false,false,933,1381,17.682,18.545
synth_d11_s27,synthetic,production,289,5000,4665,4665,0.000000,2859,2848,-0.003847,420,419,22185,22108,8,8,2439,2429,ClassCap,ClassCap,true,true,5644,5156,42.992,47.573
synth_d11_s28,synthetic,production,114,5000,1419,1419,0.000000,144,142,-0.013889,84,84,365,357,4,4,60,58,Quiesced,Quiesced,false,false,72,167,2.039,2.008
synth_d11_s29,synthetic,production,808,5000,10296,10280,-0.001554,3948,3920,-0.007092,952,954,11331,11140,4,4,2992,2949,ClassCap,ClassCap,true,true,6288,6424,30.205,33.853
synth_d11_s30,synthetic,production,23,2000,201,201,0.000000,54,54,0.000000,25,25,125,125,3,3,29,29,Quiesced,Quiesced,false,false,40,72,0.550,0.547
synth_d11_s31,synthetic,production,279,5000,3763,3763,0.000000,4514,4489,-0.005538,924,923,8081,8010,4,4,3572,3546,ClassCap,ClassCap,true,true,21002,6879,24.280,42.378
synth_d11_s32,synthetic,production,414,5000,5595,5595,0.000000,3408,3419,0.003228,629,636,9263,8989,4,4,2761,2757,ClassCap,ClassCap,true,true,7597,5564,22.285,29.227
synth_d11_s33,synthetic,production,194,5000,2827,2705,-0.043155,851,835,-0.018801,216,215,6870,6713,7,7,635,616,Quiesced,Quiesced,false,false,1002,1295,15.598,15.750
synth_d11_s34,synthetic,production,265,5000,3781,3786,0.001322,3678,4123,0.120990,654,633,9023,14078,4,5,3019,3480,ClassCap,ClassCap,true,true,8991,7133,20.840,40.541
synth_d11_s35,synthetic,production,238,5000,2921,2921,0.000000,377,371,-0.015915,184,184,1179,1160,4,4,193,186,Quiesced,Quiesced,false,false,255,501,4.942,4.897
synth_d11_s36,synthetic,production,24,2000,303,303,0.000000,29,29,0.000000,15,15,37,37,2,2,14,14,Quiesced,Quiesced,false,false,20,26,0.214,0.217
synth_d11_s37,synthetic,production,216,5000,3496,3496,0.000000,4348,4316,-0.007360,864,848,8673,8676,4,4,3484,3451,ClassCap,ClassCap,true,true,12395,6688,23.498,32.869
synth_d11_s38,synthetic,production,230,5000,3418,3296,-0.035693,1181,1155,-0.022015,260,259,11296,11041,8,8,920,892,Quiesced,Quiesced,false,false,1829,1910,23.846,24.298
synth_d11_s39,synthetic,production,475,5000,6791,6522,-0.039611,3509,3597,0.025078,813,856,11218,10667,5,5,2684,2703,ClassCap,ClassCap,true,true,27253,4790,39.273,55.747
cellgrid:120x40_d2,cellgrid,numeric-first,623,5000,432,432,0.000000,4158,4150,-0.001924,1082,1089,5640,5608,3,3,3073,3058,ClassCap,ClassCap,true,true,17233,5021,13.829,24.888
cellgrid:80x24_d1,cellgrid,numeric-first,623,5000,427,427,0.000000,4160,4149,-0.002644,1083,1088,5637,5604,3,3,3074,3058,ClassCap,ClassCap,true,true,17242,5023,13.782,24.731
cellgrid:80x24_d2,cellgrid,numeric-first,623,5000,432,432,0.000000,4158,4150,-0.001924,1082,1089,5640,5608,3,3,3073,3058,ClassCap,ClassCap,true,true,17233,5021,13.791,24.674
glyph16:U+0020,glyph16,numeric-first,1,500,0,0,0.000000,1,1,0.000000,1,1,0,0,1,1,0,0,Quiesced,Quiesced,false,false,0,0,0.008,0.005
glyph16:U+0021,glyph16,numeric-first,1927,5000,3092,3092,0.000000,4791,4781,-0.002087,1705,1654,5395,5397,2,2,3085,3079,ClassCap,ClassCap,true,true,13389,7373,19.753,24.660
glyph16:U+0022,glyph16,numeric-first,199,5000,290,233,-0.196552,3552,2951,-0.169200,509,316,17452,15898,5,5,3036,2518,ClassCap,ClassCap,true,true,43583,2549,63.441,92.881
glyph16:U+0023,glyph16,numeric-first,615,5000,1014,1014,0.000000,3610,3544,-0.018283,668,676,9407,8815,3,3,2927,2758,ClassCap,ClassCap,true,true,21267,3639,28.273,33.302
glyph16:U+0024,glyph16,numeric-first,7185,5000,12442,12442,0.000000,5000,5000,0.000000,3770,3770,1360,1360,1,1,1230,1230,ClassCap,ClassCap,true,true,2826,9168,15.200,16.657
glyph16:U+0025,glyph16,numeric-first,7327,5000,12001,12001,0.000000,5000,5000,0.000000,3626,3626,1544,1544,1,1,1374,1374,ClassCap,ClassCap,true,true,2666,9341,15.887,16.566
glyph16:U+0026,glyph16,numeric-first,9420,5000,16661,16661,0.000000,5000,5000,0.000000,4265,4265,740,740,1,1,735,735,ClassCap,ClassCap,true,true,1464,9403,15.813,16.130
glyph16:U+0027,glyph16,numeric-first,127,5000,137,137,0.000000,4094,2711,-0.337811,744,254,21184,19359,6,6,3343,2383,ClassCap,ClassCap,true,true,45792,2434,117.580,131.545
glyph16:U+0028,glyph16,numeric-first,1855,5000,3012,3012,0.000000,4791,4777,-0.002922,1721,1657,5346,5350,2,2,3069,3057,ClassCap,ClassCap,true,true,12853,7325,19.581,24.402
glyph16:U+0029,glyph16,numeric-first,1855,5000,3016,3016,0.000000,4792,4782,-0.002087,1725,1664,5341,5343,2,2,3066,3057,ClassCap,ClassCap,true,true,12827,7344,20.044,24.987
glyph16:U+002A,glyph16,numeric-first,559,5000,1135,1135,0.000000,3881,3993,0.028859,809,825,9683,9274,3,3,3054,3060,ClassCap,ClassCap,true,true,23401,4265,24.065,35.027
glyph16:U+002B,glyph16,numeric-first,247,5000,319,319,0.000000,2060,2796,0.357282,254,332,10626,16797,4,5,1803,2403,ClassCap,ClassCap,true,true,30714,2634,29.296,75.274
glyph16:U+002C,glyph16,numeric-first,1694,5000,2738,2738,0.000000,4759,4745,-0.002942,1630,1546,5418,5419,2,2,3124,3117,ClassCap,ClassCap,true,true,12662,7012,19.076,23.886
glyph16:U+002D,glyph16,numeric-first,119,5000,133,133,0.000000,1086,2841,1.616022,117,267,19137,30503,8,8,964,2527,Quiesced,ClassCap,false,true,55504,2890,49.533,250.159
glyph16:U+002E,glyph16,numeric-first,1855,5000,2847,2847,0.000000,4757,4744,-0.002733,1609,1527,5465,5468,2,2,3147,3137,ClassCap,ClassCap,true,true,13339,7035,19.259,24.560
glyph16:U+002F,glyph16,numeric-first,127,5000,138,124,-0.101449,2643,3002,0.135830,253,266,21855,26533,6,7,2375,2663,ClassCap,ClassCap,true,true,57038,2829,136.310,239.629
glyph16:U+0030,glyph16,numeric-first,5402,5000,9438,9438,0.000000,5000,5000,0.000000,3053,3052,2134,2151,1,1,1939,1948,ClassCap,ClassCap,true,true,3954,8685,14.632,15.803
glyph16:U+0031,glyph16,numeric-first,1452,5000,2510,2510,0.000000,4661,4636,-0.005364,1444,1319,5773,5765,2,2,3212,3195,ClassCap,ClassCap,true,true,13475,6030,18.553,23.990
glyph16:U+0032,glyph16,numeric-first,3891,5000,7151,7151,0.000000,4922,4921,-0.000203,2226,2226,2948,2948,1,1,2696,2695,ClassCap,ClassCap,true,true,9433,7211,13.666,16.358
glyph16:U+0033,glyph16,numeric-first,6993,5000,12149,12149,0.000000,5000,5000,0.000000,3694,3694,1473,1473,1,1,1306,1306,ClassCap,ClassCap,true,true,2947,9155,15.695,16.601
glyph16:U+0034,glyph16,numeric-first,1637,5000,2735,2735,0.000000,4714,4687,-0.005728,1577,1461,5668,5662,2,2,3133,3112,ClassCap,ClassCap,true,true,14513,6522,19.086,24.886
glyph16:U+0035,glyph16,numeric-first,4546,5000,8358,8358,0.000000,4999,4999,0.000000,2524,2524,2711,2711,1,1,2475,2475,ClassCap,ClassCap,true,true,7283,7856,14.125,16.325
