kernel,family,b_lo,b_hi,live_lo,live_hi,objective_witness,objective_greedy,delta_objective,dag_witness,dag_greedy,delta_dag,occupied,merges,divergences,frontier,best_single_swap,greedy_swaps,swaps_accepted,witness_kind,realizable,first_class,first_label,first_stage,first_rule
psychedelic_packed,psychedelic,10000,20000,111,111,750944705,750944708,-3,826,829,-3,111,0,2,2,750944704,750944704,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,5000,50000,112,111,750939309,750944708,-5399,825,829,-4,112,0,2,2,750939308,750939308,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,10000,50000,111,111,750944705,750944708,-3,826,829,-3,111,0,2,2,750944704,750944704,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,5000,100000,112,111,750939309,750944708,-5399,825,829,-4,112,0,2,2,750939308,750939308,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,10000,100000,111,111,750944705,750944708,-3,826,829,-3,111,0,2,2,750944704,750944704,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
glyph16_U0023,glyph16,5000,10000,272,276,102121,106101,-3980,1051,1071,-20,271,1,45,18,106101,106101,0,objective,COORDINATED,659,COORDINATED,dp,associative(Mul)
glyph16_U0025,glyph16,5000,10000,3921,3870,989044,880963,108081,17484,17563,-79,3755,166,133,2,880963,880963,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph16_U0026,glyph16,5000,10000,3509,3522,881823,766141,115682,15451,15751,-300,3367,142,203,3,766140,766140,1,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph16_U0028,glyph16,10000,20000,732,749,175188,156675,18513,3138,3285,-147,732,0,107,23,156606,156015,10,static-only,n/a (static-only),798,SHARING,dp,seed
glyph16_U0029,glyph16,10000,20000,674,694,162953,145703,17250,2903,3053,-150,674,0,97,24,145549,145081,8,static-only,n/a (static-only),719,SHARING,dp,seed
glyph16_U002A,glyph16,5000,10000,302,304,92732,103236,-10504,1204,1236,-32,294,8,52,12,103236,103236,0,objective,COORDINATED,2259,COORDINATED,dp,constant-fold
glyph16_U0030,glyph16,5000,10000,2408,2491,573199,528926,44273,10954,11351,-397,2408,0,308,2,528926,528926,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0033,glyph16,5000,10000,2548,2630,603358,554065,49293,11458,11845,-387,2548,0,282,2,554065,554065,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0036,glyph16,5000,10000,2527,2607,585706,541164,44542,11401,11784,-383,2527,0,293,2,541164,541164,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0038,glyph16,5000,10000,3325,3368,848269,732681,115588,14789,15261,-472,3203,122,212,2,732681,732681,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph16_U0039,glyph16,5000,10000,2547,2634,588458,544225,44233,11498,11905,-407,2547,0,277,2,544225,544225,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0044,glyph16,10000,20000,752,825,188905,188377,528,3235,3622,-387,752,0,108,19,188313,187993,6,static-only,n/a (static-only),929,COORDINATED,dp,associative(Add)
glyph16_U004A,glyph16,10000,20000,794,845,204499,199249,5250,3349,3649,-300,794,0,106,26,199180,198589,10,static-only,n/a (static-only),871,SHARING,dp,seed
glyph16_U0053,glyph16,5000,10000,2623,2728,611816,563828,47988,11756,12233,-477,2623,0,279,2,563828,563828,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0058,glyph16,5000,10000,205,203,59972,61528,-1556,842,838,4,205,0,26,16,61523,61488,8,objective,PARTIAL,440,DISTRACTOR,dp,fma-fusion
glyph16_U0058,glyph16,5000,20000,205,184,59972,61328,-1356,842,638,204,205,0,40,16,61328,61328,0,objective,COORDINATED,440,COORDINATED,dp,fma-fusion
glyph16_U005E,glyph16,5000,10000,117,111,33996,34084,-88,441,409,32,117,0,11,7,34084,34084,0,objective,COORDINATED,112,COORDINATED,dp,constant-fold
glyph16_U005E,glyph16,5000,20000,117,107,33996,34024,-28,441,349,92,117,0,15,7,34024,34024,0,objective,COORDINATED,112,COORDINATED,dp,constant-fold
