kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U004E,glyph16,20000,130,14580,91,67234,ClassCap,41155,280,51228,TreeCheaper,41155,280,40,4.916
glyph16_U004E,glyph16,5000,130,2645,104,8669,ClassCap,41209,334,51578,TreeCheaper,41209,334,42,0.058
glyph16_U004F,glyph16,10000,1707,9760,1460,7985,ClassCap,346893,6693,916952,Shared,349616,6821,344,0.026
glyph16_U004F,glyph16,20000,1707,19163,1416,25323,ClassCap,345380,6260,834484,Shared,342676,6166,565,0.574
glyph16_U004F,glyph16,5000,1707,4991,1654,3153,ClassCap,364244,7454,1492023,Shared,366356,7586,707,0.018
glyph16_U0050,glyph16,10000,957,9367,781,13534,ClassCap,194585,3350,440866,Shared,192825,3315,306,0.177
glyph16_U0050,glyph16,20000,957,17961,780,26760,ClassCap,188016,3411,574681,Shared,187584,3459,258,0.244
glyph16_U0050,glyph16,5000,957,4874,828,3899,ClassCap,198619,3679,526100,Shared,200134,3769,218,0.014
glyph16_U0051,glyph16,10000,1994,9803,1799,7654,ClassCap,414626,8186,1328512,Shared,419015,8465,492,0.029
glyph16_U0051,glyph16,20000,1994,19369,1637,25189,ClassCap,407621,7256,970406,Shared,405621,7206,650,1.162
glyph16_U0051,glyph16,5000,1994,4998,1915,2783,ClassCap,446401,8641,1573483,Shared,447809,8729,999,0.018
glyph16_U0052,glyph16,10000,1444,9859,1197,10711,ClassCap,294175,5140,685646,Shared,292335,5100,347,0.115
glyph16_U0052,glyph16,20000,1444,18507,1140,26078,ClassCap,291567,4977,578926,Shared,290687,4997,418,0.331
glyph16_U0052,glyph16,5000,1444,4972,1423,3235,ClassCap,300688,6283,1393296,Shared,303712,6472,425,0.017
glyph16_U0053,glyph16,10000,2733,9943,2690,6607,ClassCap,560390,12050,2733675,Shared,565969,12394,757,0.033
glyph16_U0053,glyph16,20000,2733,19715,2274,21798,ClassCap,546799,9934,1310616,Shared,544319,9854,671,0.588
glyph16_U0053,glyph16,5000,2733,5000,2623,2225,ClassCap,611816,11756,2449822,Shared,611816,11756,1499,0.019
glyph16_U0054,glyph16,10000,97,6085,62,27254,ClassCap,28873,178,36712,TreeCheaper,28873,178,26,0.564
glyph16_U0054,glyph16,20000,97,12720,62,55553,ClassCap,28873,178,36712,TreeCheaper,28873,178,26,3.649
glyph16_U0054,glyph16,5000,97,2881,62,13286,ClassCap,28873,178,36712,TreeCheaper,28873,178,25,0.106
glyph16_U0055,glyph16,10000,1779,9745,1532,7810,ClassCap,375939,6954,985586,Shared,377710,7060,364,0.028
glyph16_U0055,glyph16,20000,1779,19157,1488,24575,ClassCap,374547,6537,891312,Shared,371619,6429,585,0.189
glyph16_U0055,glyph16,5000,1779,4991,1749,3049,ClassCap,396523,7813,1552371,Shared,397643,7883,782,0.017
glyph16_U0056,glyph16,10000,121,6710,97,34680,ClassCap,32522,302,37912,TreeCheaper,32522,302,40,0.901
glyph16_U0056,glyph16,20000,121,11883,93,69839,ClassCap,32510,290,37864,TreeCheaper,32510,290,37,5.546
glyph16_U0056,glyph16,5000,121,2821,114,8160,ClassCap,33932,437,38428,TreeCheaper,33932,437,35,0.059
glyph16_U0057,glyph16,10000,204,6892,185,27866,ClassCap,60456,756,65024,TreeCheaper,60456,756,75,0.945
glyph16_U0057,glyph16,20000,204,14607,175,60183,ClassCap,60292,592,64744,TreeCheaper,60292,592,79,4.385
