name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
glyph32:U+0044,glyph,2606,5000,ClassCap,true,4367,1933,4367,4390,2.2592,4506
glyph32:U+0045,glyph,247,5000,ClassCap,true,2779,369,2779,2972,7.5312,335
glyph32:U+0046,glyph,215,5000,ClassCap,true,2534,330,2534,2712,7.6788,285
glyph32:U+0047,glyph,4563,5000,ClassCap,true,4983,2695,4983,5020,1.8490,8262
glyph32:U+0048,glyph,247,5000,ClassCap,true,2792,368,2792,2983,7.5870,314
glyph32:U+0049,glyph,391,5000,ClassCap,true,3418,565,3418,3722,6.0496,626
glyph32:U+004A,glyph,2425,5000,ClassCap,true,4282,1868,4282,4302,2.2923,4339
glyph32:U+004B,glyph,617,5000,ClassCap,true,4578,925,4578,4827,4.9492,1047
glyph32:U+004C,glyph,151,5000,ClassCap,true,3360,421,3360,3561,7.9810,185
glyph32:U+004D,glyph,2345,5000,ClassCap,true,4914,1703,4914,5235,2.8855,4133
glyph32:U+004E,glyph,1399,5000,ClassCap,true,4653,1325,4653,4909,3.5117,2457
glyph32:U+004F,glyph,5945,5000,ClassCap,true,5000,3006,5000,5077,1.6633,10769
glyph32:U+0050,glyph,2409,5000,ClassCap,true,4880,1714,4880,5106,2.8471,3990
glyph32:U+0051,glyph,6053,5000,ClassCap,true,5000,3029,5000,5059,1.6507,10749
glyph32:U+0052,glyph,2710,5000,ClassCap,true,4509,2000,4509,4527,2.2545,4725
glyph32:U+0053,glyph,7616,5000,ClassCap,true,5000,3414,5000,5080,1.4646,14066
glyph32:U+0054,glyph,183,5000,ClassCap,true,3520,467,3520,3719,7.5375,227
glyph32:U+0055,glyph,2899,5000,ClassCap,true,4686,2079,4686,4700,2.2540,5170
glyph32:U+0056,glyph,1573,5000,ClassCap,true,4614,1319,4614,4827,3.4981,2647
glyph32:U+0057,glyph,7232,5000,ClassCap,true,5000,3271,5000,5109,1.5286,13499
glyph32:U+0058,glyph,343,5000,ClassCap,true,3607,628,3607,3937,5.7436,652
glyph32:U+0059,glyph,263,5000,ClassCap,true,2684,412,2684,2942,6.5146,437
glyph32:U+005A,glyph,255,5000,ClassCap,true,3357,458,3357,3602,7.3297,393
glyph32:U+005B,glyph,183,5000,Quiesced,false,1519,175,1519,1677,8.6800,234
glyph32:U+005C,glyph,127,5000,ClassCap,true,3444,447,3443,3635,7.7047,166
glyph32:U+005D,glyph,183,5000,Quiesced,false,1517,177,1517,1675,8.5706,244
glyph32:U+005E,glyph,199,5000,ClassCap,true,2891,420,2891,3116,6.8833,319
glyph32:U+005F,glyph,119,5000,ClassCap,true,2994,321,2994,3172,9.3271,129
glyph32:U+0060,glyph,1722,5000,ClassCap,true,4689,1342,4689,4902,3.4940,2827
glyph32:U+0061,glyph,5743,5000,ClassCap,true,5000,3007,5000,5059,1.6628,10612
