kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U0032,glyph16,5000,1773,4992,1755,3048,ClassCap,381568,7798,1851605,Shared,381648,7803,870,0.018
glyph16_U0032,glyph16,10000,1773,9763,1508,7766,ClassCap,358804,6829,886988,Shared,361168,7033,435,0.027
glyph16_U0032,glyph16,20000,1773,19197,1444,24530,ClassCap,352625,6200,832230,Shared,355137,6357,539,0.310
glyph16_U0033,glyph16,5000,2659,5000,2548,2247,ClassCap,603358,11458,2337480,Shared,603358,11458,1460,0.018
glyph16_U0033,glyph16,10000,2659,9917,2630,6721,ClassCap,554065,11845,3063409,Shared,557184,12054,1083,0.033
glyph16_U0033,glyph16,20000,2659,19726,2163,22175,ClassCap,535164,9489,1305938,Shared,539612,9767,672,0.737
glyph16_U0034,glyph16,5000,167,3051,129,9777,ClassCap,47067,432,65571,TreeCheaper,47067,432,47,0.084
glyph16_U0034,glyph16,10000,167,5176,119,22555,ClassCap,46973,398,65292,TreeCheaper,46973,398,44,0.311
glyph16_U0034,glyph16,20000,167,14760,113,75123,ClassCap,46925,350,65168,TreeCheaper,46925,350,45,6.020
glyph16_U0035,glyph16,5000,1828,4993,1787,3018,ClassCap,403937,7952,1869425,Shared,404257,7972,916,0.017
glyph16_U0035,glyph16,10000,1828,9757,1581,7793,ClassCap,379276,7141,1224056,Shared,382398,7383,528,0.028
glyph16_U0035,glyph16,20000,1828,18891,1481,26068,ClassCap,371139,6399,877744,Shared,374227,6592,566,0.452
glyph16_U0036,glyph16,5000,2644,5000,2527,2258,ClassCap,585706,11401,2261296,Shared,585706,11401,1444,0.018
glyph16_U0036,glyph16,10000,2644,9936,2607,6721,ClassCap,541164,11784,2934064,Shared,544011,11976,1062,0.032
glyph16_U0036,glyph16,20000,2644,19717,2142,22304,ClassCap,518406,9381,1259558,Shared,522694,9649,654,0.832
glyph16_U0037,glyph16,5000,117,3533,97,15234,ClassCap,32205,330,37422,TreeCheaper,32205,330,38,0.164
glyph16_U0037,glyph16,10000,117,7128,90,31862,ClassCap,32155,280,37312,TreeCheaper,32155,280,36,0.769
glyph16_U0037,glyph16,20000,117,14266,87,63823,ClassCap,32147,272,37288,TreeCheaper,32147,272,33,4.917
glyph16_U0038,glyph16,5000,3405,5000,3325,1508,ClassCap,3750749,14789,48888928,TreeCheaper,3750749,14789,1004,0.019
glyph16_U0038,glyph16,10000,3405,9974,3368,6362,ClassCap,732681,15261,3728314,Shared,733844,15329,1672,0.035
glyph16_U0038,glyph16,20000,3405,19478,2866,15934,ClassCap,689183,13268,2168210,Shared,694078,13663,824,0.058
glyph16_U0039,glyph16,5000,2666,5000,2547,2264,ClassCap,588458,11498,2308416,Shared,588458,11498,1463,0.018
glyph16_U0039,glyph16,10000,2666,9921,2634,6752,ClassCap,544225,11905,3046801,Shared,547686,12126,1096,0.032
glyph16_U0039,glyph16,20000,2666,19746,2165,22174,ClassCap,521302,9487,1287606,Shared,526086,9786,654,0.867
glyph16_U003A,glyph16,5000,97,2762,52,12594,ClassCap,22463,143,36712,TreeCheaper,22463,143,18,0.105
glyph16_U003A,glyph16,10000,97,8279,52,40061,ClassCap,22463,143,36712,TreeCheaper,22463,143,19,1.965
glyph16_U003A,glyph16,20000,97,13102,52,54625,ClassCap,22463,143,36712,TreeCheaper,22463,143,18,3.779
glyph16_U003B,glyph16,5000,143,2710,122,8699,ClassCap,42848,413,51802,TreeCheaper,42848,413,44,0.049
glyph16_U003B,glyph16,10000,143,3722,108,49487,Quiesced,42829,334,51580,TreeCheaper,42829,334,45,0.551
glyph16_U003B,glyph16,20000,143,3722,108,49487,Quiesced,42829,334,51580,TreeCheaper,42829,334,45,0.557
glyph16_U003C,glyph16,5000,178,3095,156,9174,ClassCap,49696,571,62191,TreeCheaper,49696,571,56,0.062
glyph16_U003C,glyph16,10000,178,4645,147,31303,ClassCap,49539,474,61808,TreeCheaper,49539,474,61,0.266
glyph16_U003C,glyph16,20000,178,5722,143,58193,Quiesced,49527,462,61760,TreeCheaper,49527,462,58,1.329
glyph16_U003D,glyph16,5000,97,3763,54,11780,ClassCap,23503,148,41010,TreeCheaper,23503,148,19,0.113
glyph16_U003D,glyph16,10000,97,7608,54,27694,ClassCap,23503,148,41010,TreeCheaper,23503,148,20,0.467
glyph16_U003D,glyph16,20000,97,15129,54,66226,ClassCap,23503,148,41010,TreeCheaper,23503,148,20,2.990
glyph16_U003E,glyph16,5000,178,3088,156,9133,ClassCap,49696,571,63446,TreeCheaper,49696,571,57,0.064
glyph16_U003E,glyph16,10000,178,4657,147,31208,ClassCap,49539,474,63067,TreeCheaper,49539,474,62,0.289
glyph16_U003E,glyph16,20000,178,5726,143,58222,Quiesced,49527,462,63019,TreeCheaper,49527,462,59,1.439
glyph16_U003F,glyph16,5000,1928,4995,1879,2890,ClassCap,437492,8267,1832579,Shared,437812,8287,962,0.018
glyph16_U003F,glyph16,10000,1928,9759,1683,7579,ClassCap,404012,7502,1031085,Shared,406062,7677,560,0.029
glyph16_U003F,glyph16,20000,1928,18861,1570,25855,ClassCap,396904,6694,921088,Shared,399656,6866,592,0.446
glyph16_U0040,glyph16,5000,3513,5000,3432,1380,ClassCap,3837896,15236,48737049,TreeCheaper,3837896,15236,851,0.019
glyph16_U0040,glyph16,10000,3513,9962,3444,6257,ClassCap,764172,15567,3675758,Shared,764972,15617,1730,0.036
glyph16_U0040,glyph16,20000,3513,19508,2993,15811,ClassCap,719146,13786,2245307,Shared,724708,14218,903,0.057
glyph16_U0041,glyph16,5000,164,3699,160,9718,ClassCap,48108,633,53340,TreeCheaper,48108,633,55,0.088
glyph16_U0041,glyph16,10000,164,6007,150,24717,ClassCap,47724,609,52752,TreeCheaper,47724,609,58,0.491
glyph16_U0041,glyph16,20000,164,13000,128,83169,ClassCap,44968,403,52380,TreeCheaper,44968,403,52,11.143
glyph16_U0042,glyph16,5000,1820,4990,1772,3044,ClassCap,395772,7902,1817322,Shared,396492,7947,903,0.053
glyph16_U0042,glyph16,10000,1820,9750,1541,7791,ClassCap,369253,6988,928183,Shared,371922,7197,502,0.035
glyph16_U0042,glyph16,20000,1820,19002,1466,25611,ClassCap,360217,6337,835618,Shared,363113,6518,561,0.839
glyph16_U0043,glyph16,5000,1807,4994,1770,3023,ClassCap,389614,7954,1885242,Shared,390334,7999,904,0.039
glyph16_U0043,glyph16,10000,1807,9756,1539,7797,ClassCap,362259,7044,1164192,Shared,365509,7294,510,0.037
glyph16_U0043,glyph16,20000,1807,19108,1469,25673,ClassCap,354426,6411,858672,Shared,356970,6570,563,0.418
glyph16_U0044,glyph16,5000,939,4870,812,3915,ClassCap,193964,3644,495659,Shared,195323,3743,276,0.015
