extractor,family,kernel,extent,cap,app_cap,input_nodes,inserted_classes,classes_after,live_classes,objective,scale,claimed,tree_cost,dag_cost,signed_error,error_frac,repaired_picks,sentinel_classes,arena_nodes,arena_dag_unweighted,sharing_ratio
cost-order-settling,glyph16,glyph16_U0049,16x16,50000,2000000,259,122,35088,5618,tree_cheaper,tree,50652,50652,33081,0,0.000000,,,70,201,1.531
dfs-post-order,glyph16,glyph16_U0049,16x16,50000,2000000,259,122,35088,5618,tree_cheaper,tree,13835058055282198875,50652,33081,13835058055282148223,273139423029340.343750,96,96,70,201,1.531
cost-order-settling,glyph16,glyph16_U004A,16x16,5000,200000,2111,982,4878,2061,shared,dag,209915,593610,209915,0,0.000000,,,867,3830,2.828
dfs-post-order,glyph16,glyph16_U004A,16x16,5000,200000,2111,982,4878,2061,shared,dag,209911,720604,210139,-228,-0.001085,4,29,860,3799,3.429
cost-order-settling,glyph16,glyph16_U004A,16x16,20000,800000,2111,982,17889,4619,shared,dag,197786,588604,197786,0,0.000000,,,810,3506,2.976
dfs-post-order,glyph16,glyph16_U004A,16x16,20000,800000,2111,982,17889,4619,shared,dag,186667,657337,199249,-12582,-0.063147,38,52,845,3649,3.299
cost-order-settling,glyph16,glyph16_U004A,16x16,50000,2000000,2111,982,45059,8185,shared,dag,179884,706456,179884,0,0.000000,,,790,3334,3.927
dfs-post-order,glyph16,glyph16_U004A,16x16,50000,2000000,2111,982,45059,8185,shared,dag,132152,1213544,197933,-65781,-0.332340,1194,1174,1022,4373,6.131
cost-order-settling,glyph16,glyph16_U004B,16x16,5000,200000,347,190,3750,581,tree_cheaper,tree,65603,65603,54634,0,0.000000,,,171,649,1.201
dfs-post-order,glyph16,glyph16_U004B,16x16,5000,200000,347,190,3750,581,tree_cheaper,tree,13835058055282212913,65603,54634,13835058055282147310,210890630844353.875000,3,3,171,649,1.201
cost-order-settling,glyph16,glyph16_U004B,16x16,20000,800000,347,190,12677,1593,tree_cheaper,tree,64812,64812,54197,0,0.000000,,,154,512,1.196
dfs-post-order,glyph16,glyph16_U004B,16x16,20000,800000,347,190,12677,1593,tree_cheaper,tree,13835058055282212435,64812,54197,13835058055282147623,213464451880549.093750,50,44,154,512,1.196
cost-order-settling,glyph16,glyph16_U004B,16x16,50000,2000000,347,190,37540,4304,tree_cheaper,tree,64752,64752,54177,0,0.000000,,,148,492,1.195
dfs-post-order,glyph16,glyph16_U004B,16x16,50000,2000000,347,190,37540,4304,tree_cheaper,tree,13835058055282212399,64752,54177,13835058055282147647,213662250668429.500000,79,70,148,492,1.195
cost-order-settling,glyph16,glyph16_U004C,16x16,5000,200000,157,87,2666,356,tree_cheaper,tree,29102,29102,22996,0,0.000000,,,55,151,1.266
dfs-post-order,glyph16,glyph16_U004C,16x16,5000,200000,157,87,2666,356,tree_cheaper,tree,4611686018427411843,29102,22996,4611686018427382741,158466291609765.062500,5,5,55,151,1.266
cost-order-settling,glyph16,glyph16_U004C,16x16,20000,800000,157,87,12207,1648,tree_cheaper,tree,29102,29102,22996,0,0.000000,,,55,151,1.266
dfs-post-order,glyph16,glyph16_U004C,16x16,20000,800000,157,87,12207,1648,tree_cheaper,tree,4611686018427411843,29102,22996,4611686018427382741,158466291609765.062500,32,27,55,151,1.266
cost-order-settling,glyph16,glyph16_U004C,16x16,50000,2000000,157,87,33004,5403,tree_cheaper,tree,29102,29102,22996,0,0.000000,,,55,151,1.266
dfs-post-order,glyph16,glyph16_U004C,16x16,50000,2000000,157,87,33004,5403,tree_cheaper,tree,4611686018427411843,29102,22996,4611686018427382741,158466291609765.062500,126,126,55,151,1.266
cost-order-settling,glyph16,glyph16_U004D,16x16,5000,200000,343,175,3654,558,tree_cheaper,tree,66452,66452,56634,0,0.000000,,,159,594,1.173
dfs-post-order,glyph16,glyph16_U004D,16x16,5000,200000,343,175,3654,558,tree_cheaper,tree,18446744073709551615,66452,56634,18446744073709485163,277595017060577.343750,4,4,159,594,1.173
cost-order-settling,glyph16,glyph16_U004D,16x16,20000,800000,343,175,12091,1505,tree_cheaper,tree,65792,65792,56273,0,0.000000,,,142,473,1.169
dfs-post-order,glyph16,glyph16_U004D,16x16,20000,800000,343,175,12091,1505,tree_cheaper,tree,18446744073709551615,65792,56273,18446744073709485823,280379743338240.000000,55,47,142,473,1.169
cost-order-settling,glyph16,glyph16_U004D,16x16,50000,2000000,343,175,36609,4464,tree_cheaper,tree,65744,65744,56257,0,0.000000,,,137,457,1.169
