name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
glyph16:U+006B,glyph16,live,1460,ClassCap(Live),6279,1773,6279,6517,1068200,9796,2,4477,2404,27408458
glyph16:U+006C,glyph16,allocated,323,ClassCap(Allocated),3007,467,3007,3282,520576,8304,3,2517,522,42265625
glyph16:U+006C,glyph16,live,323,ClassCap(Live),4242,591,4242,4538,729232,18346,4,3628,503,156111583
glyph16:U+006D,glyph16,allocated,5289,ClassCap(Allocated),4998,2856,4998,5062,843248,2654,1,2088,9624,16364084
glyph16:U+006D,glyph16,live,5289,ClassCap(Live),8013,3671,8013,8077,1349768,5680,1,4287,9138,22870833
glyph16:U+006E,glyph16,allocated,2264,ClassCap(Allocated),4826,1631,4826,5051,823368,5722,2,3150,3759,26513833
glyph16:U+006E,glyph16,live,2264,ClassCap(Live),8378,2352,8378,8641,1422232,12898,2,5981,3680,37006292
glyph16:U+006F,glyph16,allocated,5716,ClassCap(Allocated),5000,2947,5000,5055,843080,2515,1,2018,10262,16094833
glyph16:U+006F,glyph16,live,5716,ClassCap(Live),8007,3745,8007,8061,1348200,5622,1,4202,10052,24014792
glyph16:U+0070,glyph16,allocated,5406,ClassCap(Allocated),4999,2901,4999,5057,843080,2589,1,2053,9922,16338958
glyph16:U+0070,glyph16,live,5406,ClassCap(Live),7992,3700,7992,8049,1345848,5630,1,4235,9722,23287666
glyph16:U+0071,glyph16,allocated,5046,ClassCap(Allocated),4992,2802,4992,5041,841400,2777,1,2134,9172,16340958
glyph16:U+0071,glyph16,live,5046,ClassCap(Live),7810,3472,7810,7859,1314824,5640,1,4282,8958,22681041
glyph16:U+0072,glyph16,allocated,2456,ClassCap(Allocated),4912,1804,4912,5158,838992,5113,2,3066,4180,27265083
glyph16:U+0072,glyph16,live,2456,ClassCap(Live),8977,2504,8977,9284,1525328,13808,2,6428,4090,40078000
glyph16:U+0073,glyph16,allocated,6929,ClassCap(Allocated),5000,3201,5000,5088,844928,1968,1,1799,12680,16739125
glyph16:U+0073,glyph16,live,6929,ClassCap(Live),8360,4256,8360,8441,1409016,5365,1,4047,12477,25571417
glyph16:U+0074,glyph16,allocated,2421,ClassCap(Allocated),4905,1796,4905,5142,837312,5091,2,3070,4109,25492375
glyph16:U+0074,glyph16,live,2421,ClassCap(Live),9094,2551,9094,9361,1542744,13875,2,6479,4021,39677125
glyph16:U+0075,glyph16,allocated,2493,ClassCap(Allocated),4898,1809,4898,5116,835072,5123,2,3047,4153,25442583
glyph16:U+0075,glyph16,live,2493,ClassCap(Live),8754,2477,8754,9008,1484896,13502,2,6218,4056,38333417
glyph16:U+0076,glyph16,allocated,1115,ClassCap(Allocated),4236,1182,4236,4416,721728,6760,2,3028,1760,19716875
glyph16:U+0076,glyph16,live,1115,ClassCap(Live),8688,1673,8688,9180,1487136,20494,3,6989,1676,89839791
glyph16:U+0077,glyph16,allocated,3663,ClassCap(Allocated),4937,2492,4937,4971,831320,3133,1,2394,6602,15248708
glyph16:U+0077,glyph16,live,3663,ClassCap(Live),6480,2834,6480,6517,1090712,4816,1,3595,6443,18096166
glyph16:U+0078,glyph16,allocated,343,ClassCap(Allocated),3590,620,3590,3918,621488,8967,3,2960,639,60566417
glyph16:U+0078,glyph16,live,343,ClassCap(Live),5695,805,5695,6101,979496,22114,4,4853,599,377388000
glyph16:U+0079,glyph16,allocated,3530,ClassCap(Allocated),4915,2436,4915,4942,827232,3229,1,2429,6403,14865750
glyph16:U+0079,glyph16,live,3530,ClassCap(Live),6172,2696,6172,6199,1038408,4610,1,3426,6393,17167917
glyph16:U+007A,glyph16,allocated,255,ClassCap(Allocated),3358,459,3358,3603,577864,14056,4,2879,393,102418625
glyph16:U+007A,glyph16,live,255,ClassCap(Live),5513,697,5513,5824,943600,28066,5,4791,383,395052875
glyph16:U+007B,glyph16,allocated,4598,ClassCap(Allocated),4984,2694,4984,5032,840000,2918,1,2235,8205,15823541
glyph16:U+007B,glyph16,live,4598,ClassCap(Live),7306,3259,7306,7354,1230096,5301,1,3992,8195,20917958
glyph16:U+007C,glyph16,allocated,119,Quiesced,1044,112,1044,1178,182896,15325,7,924,133,38770333
glyph16:U+007C,glyph16,live,119,Quiesced,1044,112,1044,1178,182896,15325,7,924,133,38889250
glyph16:U+007D,glyph16,allocated,4598,ClassCap(Allocated),4983,2688,4983,5024,839440,2918,1,2240,8215,15894084
glyph16:U+007D,glyph16,live,4598,ClassCap(Live),7220,3231,7220,7262,1215312,5239,1,3934,8205,20601708
glyph16:U+007E,glyph16,allocated,5093,ClassCap(Allocated),4996,2812,4996,5047,842184,2750,1,2127,9370,16087541
glyph16:U+007E,glyph16,live,5093,ClassCap(Live),7897,3527,7897,7949,1329608,5677,1,4313,9150,22491208
glyph32:U+0020,glyph32,allocated,1,Quiesced,1,1,1,1,168,0,1,0,0,7000
glyph32:U+0020,glyph32,live,1,Quiesced,1,1,1,1,168,0,1,0,0,5166
glyph32:U+0021,glyph32,allocated,1927,ClassCap(Allocated),4703,1352,4703,4925,802536,6357,2,3316,3125,23584542
glyph32:U+0021,glyph32,live,1927,ClassCap(Live),7369,2118,7369,7607,1251320,11245,2,5216,3064,31200125
glyph32:U+0022,glyph32,allocated,199,ClassCap(Allocated),2888,421,2888,3112,497728,12044,4,2453,310,85635417
glyph32:U+0022,glyph32,live,199,ClassCap(Live),5309,738,5309,5568,906416,23647,5,4557,290,307343041
glyph32:U+0023,glyph32,allocated,615,ClassCap(Allocated),4309,826,4309,4674,744352,9842,3,3473,1014,78896125
glyph32:U+0023,glyph32,live,615,ClassCap(Live),5541,922,5541,6037,958664,13549,3,4600,1014,100529208
glyph32:U+0024,glyph32,allocated,7185,ClassCap(Allocated),5000,3246,5000,5075,844200,1886,1,1754,13131,17028625
glyph32:U+0024,glyph32,live,7185,ClassCap(Live),8398,4355,8398,8474,1415120,5238,1,3987,13008,26461416
glyph32:U+0025,glyph32,allocated,7327,ClassCap(Allocated),5000,3186,5000,5085,844760,1990,1,1813,12640,16868333
glyph32:U+0025,glyph32,live,7327,ClassCap(Live),8395,4232,8395,8474,1414784,5480,1,4103,12430,25885833
glyph32:U+0026,glyph32,allocated,9420,ClassCap(Allocated),5000,4308,5000,5003,840168,693,1,692,17979,16708000
glyph32:U+0026,glyph32,live,9420,ClassCap(Live),7537,4796,7537,7659,1273048,3285,1,2741,17502,25022709
glyph32:U+0027,glyph32,allocated,127,ClassCap(Allocated),3566,582,3566,3759,609896,16399,5,2974,171,151747500
glyph32:U+0027,glyph32,live,127,ClassCap(Live),7642,1240,7642,7888,1297632,32181,6,6391,137,453089792
glyph32:U+0028,glyph32,allocated,1855,ClassCap(Allocated),4719,1379,4719,4920,804048,6310,2,3305,3039,22852375
glyph32:U+0028,glyph32,live,1855,ClassCap(Live),7132,2067,7132,7349,1210328,10875,2,5030,2989,30749333
glyph32:U+0029,glyph32,allocated,1855,ClassCap(Allocated),4718,1378,4718,4927,804328,6310,2,3305,3039,23230417
glyph32:U+0029,glyph32,live,1855,ClassCap(Live),7162,2078,7162,7391,1216040,10894,2,5049,2989,30087208
glyph32:U+002A,glyph32,allocated,559,ClassCap(Allocated),4480,1002,4480,4828,772128,9666,3,3474,1143,59371500
glyph32:U+002A,glyph32,live,559,ClassCap(Live),5729,1104,5729,6224,990192,13789,3,4621,1143,95439666
glyph32:U+002B,glyph32,allocated,247,ClassCap(Allocated),2055,244,2055,2244,355824,11436,4,1803,319,32857875
glyph32:U+002B,glyph32,live,247,Quiesced,2346,254,2346,2536,404768,60676,12,2084,319,153888458
glyph32:U+002C,glyph32,allocated,1694,ClassCap(Allocated),4678,1366,4678,4872,796768,6361,2,3281,2779,22799084
glyph32:U+002C,glyph32,live,1694,ClassCap(Live),6820,1963,6820,7028,1157408,10474,2,4826,2723,28106709
glyph32:U+002D,glyph32,allocated,119,Quiesced,1034,116,1034,1164,180992,15080,7,910,133,35561334
glyph32:U+002D,glyph32,live,119,Quiesced,1034,116,1034,1164,180992,15080,7,910,133,36118375
glyph32:U+002E,glyph32,allocated,1855,ClassCap(Allocated),4681,1354,4680,4894,798284,6411,2,3292,2881,22886541
glyph32:U+002E,glyph32,live,1855,ClassCap(Live),7055,2027,7054,7297,1198740,10702,2,4993,2813,29284250
glyph32:U+002F,glyph32,allocated,127,ClassCap(Allocated),3444,447,3443,3635,589236,18357,5,2972,166,210206459
glyph32:U+002F,glyph32,live,127,ClassCap(Live),6235,653,6234,6508,1062716,38385,6,5550,138,1133338041
glyph32:U+0030,glyph32,allocated,5402,ClassCap(Allocated),5000,2903,5000,5061,843416,2586,1,2050,9970,16535416
glyph32:U+0030,glyph32,live,5402,ClassCap(Live),7934,3671,7934,7994,1336272,5574,1,4208,9768,23448208
glyph32:U+0031,glyph32,allocated,1452,ClassCap(Allocated),4418,1323,4418,4654,755440,6800,2,3070,2520,22896083
